in s,C2 in V
7.59685600E-02,6.8342401E-01
7.59688640E-02,6.8481028E-01
7.59691680E-02,6.8535273E-01
7.59694720E-02,6.8233911E-01
7.59697760E-02,6.8547327E-01
7.59700800E-02,6.8468973E-01
7.59703840E-02,6.8348429E-01
7.59706880E-02,6.8414728E-01
7.59709920E-02,6.8330347E-01
7.59712960E-02,6.8589518E-01
7.59716000E-02,6.8420755E-01
7.59719040E-02,6.8318293E-01
7.59722080E-02,6.8426783E-01
7.59725120E-02,6.8384592E-01
7.59728160E-02,6.8583490E-01
7.59731200E-02,6.8643763E-01
7.59734240E-02,6.8589518E-01
7.59737280E-02,6.8481028E-01
7.59740320E-02,6.8667871E-01
7.59743360E-02,6.8625681E-01
7.59746400E-02,6.8535273E-01
7.59749440E-02,6.8535273E-01
7.59752480E-02,6.8571436E-01
7.59755520E-02,6.8456919E-01
7.59758560E-02,6.8330347E-01
7.59761600E-02,6.8541300E-01
7.59764640E-02,6.8782389E-01
7.59767680E-02,6.8523218E-01
7.59770720E-02,6.8607599E-01
7.59773760E-02,6.8601572E-01
7.59776800E-02,6.8384592E-01
7.59779840E-02,6.8258020E-01
7.59782880E-02,6.8468973E-01
7.59785920E-02,6.8426783E-01
7.59788960E-02,6.8354456E-01
7.59792000E-02,6.8251993E-01
7.59795040E-02,6.8131449E-01
7.59798080E-02,6.8137476E-01
7.59801120E-02,6.8155558E-01
7.59804160E-02,6.8215830E-01
7.59807200E-02,6.8511164E-01
7.59810240E-02,6.8481028E-01
7.59813280E-02,6.8318293E-01
7.59816320E-02,6.8330347E-01
7.59819360E-02,6.8426783E-01
7.59822400E-02,6.8589518E-01
7.59825440E-02,6.8462946E-01
7.59828480E-02,6.8547327E-01
7.59831520E-02,6.8414728E-01
7.59834560E-02,6.8384592E-01
7.59837600E-02,6.8595545E-01
7.59840640E-02,6.8547327E-01
7.59843680E-02,6.8396646E-01
7.59846720E-02,6.8366510E-01
7.59849760E-02,6.8318293E-01
7.59852800E-02,6.8288156E-01
7.59855840E-02,6.8493082E-01
7.59858880E-02,6.8505136E-01
7.59861920E-02,6.8444864E-01
7.59864960E-02,6.8547327E-01
7.59868000E-02,6.8384592E-01
7.59871040E-02,6.8402674E-01
7.59874080E-02,6.8643763E-01
7.59877120E-02,6.8655817E-01
7.59880160E-02,6.8348429E-01
7.59883200E-02,6.8420755E-01
7.59886240E-02,6.8691980E-01
7.59889280E-02,6.8547327E-01
7.59892320E-02,6.8529245E-01
7.59895360E-02,6.8396646E-01
7.59898400E-02,6.8679926E-01
7.59901440E-02,6.8511164E-01
7.59904480E-02,6.8408701E-01
7.59907520E-02,6.8432810E-01
7.59910560E-02,6.8571436E-01
7.59913600E-02,6.8511164E-01
7.59916640E-02,6.8444864E-01
7.59919680E-02,6.8408701E-01
7.59922720E-02,6.8505136E-01
7.59925760E-02,6.8402674E-01
7.59928800E-02,6.8384592E-01
7.59931840E-02,6.8450891E-01
7.59934880E-02,6.8372538E-01
7.59937920E-02,6.8481028E-01
7.59940960E-02,6.8318293E-01
7.59944000E-02,6.8330347E-01
7.59947040E-02,6.8438837E-01
7.59950080E-02,6.8282129E-01
7.59953120E-02,6.8161585E-01
7.59956160E-02,6.8348429E-01
7.59959200E-02,6.8239939E-01
7.59962240E-02,6.8384592E-01
7.59965280E-02,6.8294184E-01
7.59968320E-02,6.8318293E-01
7.59971360E-02,6.8306238E-01
7.59974400E-02,6.8432810E-01
7.59977440E-02,6.8360483E-01
7.59980480E-02,6.8481028E-01
7.59983520E-02,6.8673899E-01
7.59986560E-02,6.8637735E-01
7.59989600E-02,6.8511164E-01
7.59992640E-02,6.8493082E-01
7.59995680E-02,6.8444864E-01
