in s,C2 in V
2.4068896E-02,7.6584497E-01
2.4069200E-02,7.6524438E-01
2.4069504E-02,7.6714624E-01
2.4069808E-02,7.6694604E-01
2.4070112E-02,7.6789697E-01
2.4070416E-02,7.6714624E-01
2.4070720E-02,7.6714624E-01
2.4071024E-02,7.6579492E-01
2.4071328E-02,7.6429345E-01
2.4071632E-02,7.6514428E-01
2.4071936E-02,7.6569482E-01
2.4072240E-02,7.6564477E-01
2.4072544E-02,7.6519433E-01
2.4072848E-02,7.6484399E-01
2.4073152E-02,7.6444360E-01
2.4073456E-02,7.6489404E-01
2.4073760E-02,7.6674584E-01
2.4074064E-02,7.6619531E-01
2.4074368E-02,7.6589501E-01
2.4074672E-02,7.6514428E-01
2.4074976E-02,7.6489404E-01
2.4075280E-02,7.6444360E-01
2.4075584E-02,7.6449365E-01
2.4075888E-02,7.6389306E-01
2.4076192E-02,7.6409326E-01
2.4076496E-02,7.6324243E-01
2.4076800E-02,7.6324243E-01
2.4077104E-02,7.6359277E-01
2.4077408E-02,7.6179101E-01
2.4077712E-02,7.6284204E-01
2.4078016E-02,7.6314233E-01
2.4078320E-02,7.6414331E-01
2.4078624E-02,7.6529443E-01
2.4078928E-02,7.6599511E-01
2.4079232E-02,7.6459375E-01
2.4079536E-02,7.6414331E-01
2.4079840E-02,7.6569482E-01
2.4080144E-02,7.6369287E-01
2.4080448E-02,7.6549462E-01
2.4080752E-02,7.6204125E-01
2.4081056E-02,7.6394311E-01
2.4081360E-02,7.6339257E-01
2.4081664E-02,7.6239160E-01
2.4081968E-02,7.6404321E-01
2.4082272E-02,7.6469384E-01
2.4082576E-02,7.6279199E-01
2.4082880E-02,7.6339257E-01
2.4083184E-02,7.6439355E-01
2.4083488E-02,7.6599511E-01
2.4083792E-02,7.6569482E-01
2.4084096E-02,7.6584497E-01
2.4084400E-02,7.6449365E-01
2.4084704E-02,7.6704614E-01
2.4085008E-02,7.6754663E-01
2.4085312E-02,7.6644555E-01
2.4085616E-02,7.6689599E-01
2.4085920E-02,7.6474389E-01
2.4086224E-02,7.6584497E-01
2.4086528E-02,7.6624536E-01
2.4086832E-02,7.6484399E-01
2.4087136E-02,7.6364282E-01
2.4087440E-02,7.6479394E-01
2.4087744E-02,7.6454370E-01
2.4088048E-02,7.6504418E-01
2.4088352E-02,7.6504418E-01
2.4088656E-02,7.6634545E-01
2.4088960E-02,7.6429345E-01
2.4089264E-02,7.6374292E-01
2.4089568E-02,7.6364282E-01
2.4089872E-02,7.6474389E-01
2.4090176E-02,7.6254174E-01
2.4090480E-02,7.6494409E-01
2.4090784E-02,7.6254174E-01
2.4091088E-02,7.6469384E-01
2.4091392E-02,7.6254174E-01
2.4091696E-02,7.6194116E-01
2.4092000E-02,7.6249169E-01
2.4092304E-02,7.6174096E-01
2.4092608E-02,7.6214135E-01
2.4092912E-02,7.6254174E-01
2.4093216E-02,7.6344262E-01
2.4093520E-02,7.6429345E-01
2.4093824E-02,7.6334252E-01
2.4094128E-02,7.6474389E-01
2.4094432E-02,7.6479394E-01
2.4094736E-02,7.6649560E-01
2.4095040E-02,7.6659570E-01
2.4095344E-02,7.6569482E-01
2.4095648E-02,7.6419335E-01
2.4095952E-02,7.6524438E-01
2.4096256E-02,7.6604516E-01
2.4096560E-02,7.6444360E-01
2.4096864E-02,7.6244165E-01
2.4097168E-02,7.6254174E-01
2.4097472E-02,7.6224145E-01
2.4097776E-02,7.6309228E-01
2.4098080E-02,7.6214135E-01
2.4098384E-02,7.6359277E-01
2.4098688E-02,7.6349267E-01
2.4098992E-02,7.6394311E-01
2.4099296E-02,7.6329248E-01
2.4099600E-02,7.6254174E-01
2.4099904E-02,7.6294213E-01
2.4100208E-02,7.6144067E-01
2.4100512E-02,7.6389306E-01
2.4100816E-02,7.6209130E-01
2.4101120E-02,7.6229150E-01
2.4101424E-02,7.6249169E-01
2.4101728E-02,7.6389306E-01
2.4102032E-02,7.6429345E-01
2.4102336E-02,7.6269189E-01
2.4102640E-02,7.6449365E-01
2.4102944E-02,7.6334252E-01
2.4103248E-02,7.6279199E-01
2.4103552E-02,7.6144067E-01
2.4103856E-02,7.6364282E-01
2.4104160E-02,7.6224145E-01
2.4104464E-02,7.6359277E-01
2.4104768E-02,7.6374292E-01
2.4105072E-02,7.6419335E-01
2.4105376E-02,7.6549462E-01
2.4105680E-02,7.6374292E-01
2.4105984E-02,7.6549462E-01
2.4106288E-02,7.6579492E-01
2.4106592E-02,7.6514428E-01
2.4106896E-02,7.6389306E-01
2.4107200E-02,7.6539453E-01
2.4107504E-02,7.6444360E-01
2.4107808E-02,7.6394311E-01
2.4108112E-02,7.6419335E-01
2.4108416E-02,7.6414331E-01
2.4108720E-02,7.6554467E-01
2.4109024E-02,7.6334252E-01
2.4109328E-02,7.6419335E-01
2.4109632E-02,7.6469384E-01
2.4109936E-02,7.6389306E-01
2.4110240E-02,7.6169091E-01
2.4110544E-02,7.6294213E-01
2.4110848E-02,7.6289208E-01
2.4111152E-02,7.6284204E-01
2.4111456E-02,7.6269189E-01
2.4111760E-02,7.6289208E-01
2.4112064E-02,7.6229150E-01
2.4112368E-02,7.6169091E-01
2.4112672E-02,7.6033959E-01
2.4112976E-02,7.6104028E-01
2.4113280E-02,7.6379296E-01
