in s,C2 in V
2.91768954E-01,7.6168060E-01
2.91769414E-01,7.6183319E-01
2.91769875E-01,7.6457977E-01
2.91770336E-01,7.6442719E-01
2.91770797E-01,7.6274872E-01
2.91771258E-01,7.6236725E-01
2.91771718E-01,7.6343536E-01
2.91772179E-01,7.6503754E-01
2.91772640E-01,7.6259613E-01
2.91773101E-01,7.6152802E-01
2.91773562E-01,7.6137543E-01
2.91774022E-01,7.6221466E-01
2.91774483E-01,7.6267242E-01
2.91774944E-01,7.6274872E-01
2.91775405E-01,7.6297760E-01
2.91775866E-01,7.6343536E-01
2.91776326E-01,7.6160431E-01
2.91776787E-01,7.6450348E-01
2.91777248E-01,7.6244354E-01
2.91777709E-01,7.6259613E-01
2.91778170E-01,7.6656342E-01
2.91778630E-01,7.6450348E-01
2.91779091E-01,7.6656342E-01
2.91779552E-01,7.6404572E-01
2.91780013E-01,7.6503754E-01
2.91780474E-01,7.6412201E-01
2.91780934E-01,7.6641083E-01
2.91781395E-01,7.6442719E-01
2.91781856E-01,7.6625824E-01
2.91782317E-01,7.6564789E-01
2.91782778E-01,7.6740265E-01
2.91783238E-01,7.6938629E-01
2.91783699E-01,7.6656342E-01
2.91784160E-01,7.6442719E-01
2.91784621E-01,7.6419830E-01
2.91785082E-01,7.6618195E-01
2.91785542E-01,7.6366425E-01
2.91786003E-01,7.6358795E-01
2.91786464E-01,7.6435089E-01
2.91786925E-01,7.6564789E-01
2.91787386E-01,7.6519012E-01
2.91787846E-01,7.6732635E-01
2.91788307E-01,7.6755524E-01
2.91788768E-01,7.6587677E-01
2.91789229E-01,7.6969147E-01
2.91789690E-01,7.6816559E-01
2.91790150E-01,7.6740265E-01
2.91790611E-01,7.6831818E-01
2.91791072E-01,7.6969147E-01
2.91791533E-01,7.6786041E-01
2.91791994E-01,7.6877594E-01
2.91792454E-01,7.6686859E-01
2.91792915E-01,7.6877594E-01
2.91793376E-01,7.6999664E-01
2.91793837E-01,7.6648712E-01
2.91794298E-01,7.6625824E-01
2.91794758E-01,7.6915741E-01
2.91795219E-01,7.6992035E-01
2.91795680E-01,7.6915741E-01
2.91796141E-01,7.6824188E-01
2.91796602E-01,7.6793671E-01
2.91797062E-01,7.6931000E-01
2.91797523E-01,7.6801300E-01
2.91797984E-01,7.6984406E-01
2.91798445E-01,7.6992035E-01
2.91798906E-01,7.6679230E-01
2.91799366E-01,7.6747894E-01
2.91799827E-01,7.6801300E-01
2.91800288E-01,7.7075958E-01
2.91800749E-01,7.7388763E-01
2.91801210E-01,7.7236176E-01
2.91801670E-01,7.7152252E-01
2.91802131E-01,7.7472687E-01
2.91802592E-01,7.6923370E-01
2.91803053E-01,7.6969147E-01
2.91803514E-01,7.7144623E-01
2.91803974E-01,7.7167511E-01
2.91804435E-01,7.6992035E-01
2.91804896E-01,7.7045441E-01
2.91805357E-01,7.7114105E-01
2.91805818E-01,7.6969147E-01
2.91806278E-01,7.6885223E-01
2.91806739E-01,7.6999664E-01
2.91807200E-01,7.7098846E-01
2.91807661E-01,7.7136993E-01
2.91808122E-01,7.7381134E-01
2.91808582E-01,7.7457428E-01
2.91809043E-01,7.7281952E-01
2.91809504E-01,7.7114105E-01
2.91809965E-01,7.7228546E-01
2.91810426E-01,7.7503204E-01
2.91810886E-01,7.7457428E-01
2.91811347E-01,7.7625275E-01
2.91811808E-01,7.7610016E-01
2.91812269E-01,7.7388763E-01
2.91812730E-01,7.7259064E-01
2.91813190E-01,7.7175140E-01
2.91813651E-01,7.7266693E-01
2.91814112E-01,7.7175140E-01
2.91814573E-01,7.7266693E-01
2.91815034E-01,7.7312469E-01
2.91815494E-01,7.7213287E-01
2.91815955E-01,7.7281952E-01
2.91816416E-01,7.7159882E-01
2.91816877E-01,7.7106476E-01
2.91817338E-01,7.7335358E-01
2.91817798E-01,7.7457428E-01
2.91818259E-01,7.7259064E-01
2.91818720E-01,7.7587128E-01
2.91819181E-01,7.7495575E-01
2.91819642E-01,7.7533722E-01
2.91820102E-01,7.7480316E-01
2.91820563E-01,7.7274323E-01
2.91821024E-01,7.7472687E-01
2.91821485E-01,7.7655792E-01
2.91821946E-01,7.7404022E-01
2.91822406E-01,7.7518463E-01
2.91822867E-01,7.7762604E-01
2.91823328E-01,7.7640533E-01
2.91823789E-01,7.7472687E-01
2.91824250E-01,7.7823639E-01
2.91824710E-01,7.7663422E-01
2.91825171E-01,7.7518463E-01
2.91825632E-01,7.7342987E-01
2.91826093E-01,7.7686310E-01
2.91826554E-01,7.7381134E-01
2.91827014E-01,7.7594757E-01
2.91827475E-01,7.7510834E-01
2.91827936E-01,7.7564240E-01
2.91828397E-01,7.7663422E-01
2.91828858E-01,7.7526093E-01
2.91829318E-01,7.7503204E-01
2.91829779E-01,7.7548981E-01
2.91830240E-01,7.7419281E-01
2.91830701E-01,7.7564240E-01
2.91831162E-01,7.7404022E-01
2.91831622E-01,7.7663422E-01
2.91832083E-01,7.7724457E-01
2.91832544E-01,7.7762604E-01
2.91833005E-01,7.7686310E-01
2.91833466E-01,7.7754974E-01
2.91833926E-01,7.7671051E-01
2.91834387E-01,7.7884674E-01
2.91834848E-01,7.7785492E-01
2.91835309E-01,7.7938080E-01
2.91835770E-01,7.7915192E-01
2.91836230E-01,7.7548981E-01
2.91836691E-01,7.7556610E-01
2.91837152E-01,7.7846527E-01
2.91837613E-01,7.7739716E-01
2.91838074E-01,7.7854156E-01
2.91838534E-01,7.7655792E-01
2.91838995E-01,7.7610016E-01
2.91839456E-01,7.7701569E-01
2.91839917E-01,7.7846527E-01
2.91840378E-01,7.7770233E-01
2.91840838E-01,7.7701569E-01
2.91841299E-01,7.7457428E-01
2.91841760E-01,7.7526093E-01
2.91842221E-01,7.7449799E-01
2.91842682E-01,7.7304840E-01
2.91843142E-01,7.7373505E-01
2.91843603E-01,7.7434540E-01
2.91844064E-01,7.7442169E-01
2.91844525E-01,7.7243805E-01
2.91844986E-01,7.7342987E-01
2.91845446E-01,7.7190399E-01
